Index,Value
0,0
1,0.587785
2,0.951057
3,0.951057
4,0.587785
5,1.22465e-16
6,-0.587785
7,-0.951057
8,-0.951057
9,-0.587785
10,-2.44929e-16
11,0.587785
12,0.951057
13,0.951057
14,0.587785
15,3.67394e-16
16,-0.587785
17,-0.951057
18,-0.951057
19,-0.587785
20,-4.89859e-16
21,0.587785
22,0.951057
23,0.951057
24,0.587785
25,6.12323e-16
26,-0.587785
27,-0.951057
28,-0.951057
29,-0.587785
30,-7.34788e-16
31,0.587785
32,0.951057
33,0.951057
34,0.587785
35,8.57253e-16
36,-0.587785
37,-0.951057
38,-0.951057
39,-0.587785
40,-9.79717e-16
41,0.587785
42,0.951057
43,0.951057
44,0.587785
45,1.10218e-15
46,-0.587785
47,-0.951057
48,-0.951057
49,-0.587785
50,-1.22465e-15
51,0.587785
52,0.951057
53,0.951057
54,0.587785
55,4.89983e-15
56,-0.587785
57,-0.951057
58,-0.951057
59,-0.587785
60,-1.46958e-15
61,0.587785
62,0.951057
63,0.951057
64,0.587785
65,-1.96067e-15
66,-0.587785
67,-0.951057
68,-0.951057
69,-0.587785
70,-1.71451e-15
71,0.587785
72,0.951057
73,0.951057
74,0.587785
75,5.38968e-15
76,-0.587785
77,-0.951057
78,-0.951057
79,-0.587785
80,-1.95943e-15
81,0.587785
82,0.951057
83,0.951057
84,0.587785
85,-1.47081e-15
86,-0.587785
87,-0.951057
88,-0.951057
89,-0.587785
90,-2.20436e-15
91,0.587785
92,0.951057
93,0.951057
94,0.587785
95,5.87954e-15
96,-0.587785
97,-0.951057
98,-0.951057
99,-0.587785
100,-2.44929e-15
101,0.587785
102,0.951057
103,0.951057
104,0.587785
105,-9.80955e-16
106,-0.587785
107,-0.951057
108,-0.951057
109,-0.587785
110,-9.79965e-15
111,0.587785
112,0.951057
113,0.951057
114,0.587785
115,6.3694e-15
116,-0.587785
117,-0.951057
118,-0.951057
119,-0.587785
120,-2.93915e-15
121,0.587785
122,0.951057
123,0.951057
124,0.587785
125,-4.91097e-16
126,-0.587785
127,-0.951057
128,-0.951057
129,-0.587785
130,3.92135e-15
131,0.587785
132,0.951057
133,0.951057
134,0.587785
135,6.85926e-15
136,-0.587785
137,-0.951057
138,-0.951057
139,-0.587785
140,-3.42901e-15
141,0.587785
142,0.951057
143,0.951057
144,0.587785
145,-1.23796e-18
146,-0.587785
147,-0.951057
148,-0.951057
149,-0.587785
150,-1.07794e-14
151,0.587785
152,0.951057
153,0.951057
154,0.587785
155,7.34912e-15
156,-0.587785
157,-0.951057
158,-0.951057
159,-0.587785
160,-3.91887e-15
161,0.587785
162,0.951057
163,0.951057
164,0.587785
165,4.88621e-16
166,-0.587785
167,-0.951057
168,-0.951057
169,-0.587785
170,2.94163e-15
171,0.587785
172,0.951057
173,0.951057
174,0.587785
175,7.83898e-15
176,-0.587785
177,-0.951057
178,-0.951057
179,-0.587785
180,-4.40873e-15
181,0.587785
182,0.951057
183,0.951057
184,0.587785
185,9.78479e-16
186,-0.587785
187,-0.951057
188,-0.951057
189,-0.587785
190,-1.17591e-14
191,0.587785
192,0.951057
193,0.951057
194,0.587785
195,8.32884e-15
196,-0.587785
197,-0.951057
198,-0.951057
