Index,Value
0,0.0381584
1,0.00787544
2,-0.0428552
3,-0.0322918
4,0.0262141
5,-0.0137098
6,-0.0275432
7,-0.0544131
8,0.0433376
9,0.0108753
10,0.0148901
11,0.0115331
12,0.0634756
13,0.039936
14,-0.0811245
15,0.0590348
16,0.0362637
17,0.00389686
18,0.025473
19,0.0675501
20,-0.0288918
21,-0.0341444
22,0.0122209
23,-0.0277798
24,-0.120996
25,-0.0190683
26,-0.0176546
27,-0.0468256
28,-0.0482261
29,-0.0541456
30,-0.000342637
31,0.0815063
32,0.0265205
33,-0.0153443
34,0.0890429
35,0.0455452
36,0.0172795
37,0.0677721
38,-0.039839
39,-0.0609143
40,0.020131
41,-0.01597
42,-0.0585386
43,0.00374817
44,0.0102931
45,-0.0656412
46,-0.00834058
47,0.00477045
48,0.0495488
49,0.0191917
50,-0.0374215
51,0.0126572
52,-0.00484568
53,0.0806875
54,-0.0222814
55,-0.00230579
56,-0.0570459
57,-0.0684869
58,-0.134958
59,-0.0314231
60,0.0953349
61,0.048307
62,0.107505
63,-0.107315
64,-0.0999556
65,0.0189899
66,0.0216432
67,0.100407
68,0.0549075
69,-0.128634
70,-0.143546
71,-0.0321193
72,0.21885
73,0.252077
74,-0.0975863
75,-0.261718
76,-0.0728358
77,0.265989
78,0.273483
79,-0.186208
80,-0.380251
81,0.0111752
82,0.375174
83,0.0159005
84,-0.379179
85,-0.149461
86,0.37915
87,0.181432
88,-0.465729
89,-0.232825
90,0.538315
91,0.155415
92,-0.505713
93,-0.0699167
94,0.52164
95,-0.184441
96,-0.487012
97,0.331136
98,0.292789
99,-0.575281
100,0.0250856
101,0.571453
102,-0.326169
103,-0.194757
104,0.563671
105,-0.159833
106,-0.466904
107,0.466891
108,-0.161823
109,-0.355219
110,0.502442
111,-0.082086
112,-0.323643
113,0.425357
114,-0.280734
115,-0.134059
116,0.411054
117,-0.33988
118,0.0818633
119,0.116452
120,-0.289793
121,0.303612
122,-0.224329
123,-0.0524022
124,0.245339
125,-0.276591
126,0.167084
127,-0.113734
128,-0.0547038
129,0.102421
