Index,Value
0,7.26346
1,-0.360864
2,0.0638349
3,0.0403057
4,-0.192739
5,-0.0294787
6,0.0580408
7,0.0418757
8,-0.0370129
9,-0.228319
10,0.0578843
11,0.156523
12,-0.148015
13,0.0345409
14,-0.180012
15,-0.202002
16,0.105855
17,-0.106297
18,0.0764858
19,0.227547
20,0.0246274
21,-0.10382
22,0.0136049
23,0.246576
24,0.0522495
25,0.345093
26,-0.184366
27,-0.0968274
28,0.35173
29,-0.214965
30,0.141799
31,0.3756
32,-0.115748
33,0.109658
34,0.153609
35,0.157238
36,-0.0269354
37,0.38392
38,-0.0461389
39,0.143183
40,0.0877938
41,0.242365
42,0.344594
43,0.205467
44,-0.18463
45,0.375649
46,-0.209569
47,0.249224
48,-0.000862518
49,0.382412
50,0.40206
51,-0.0888686
52,-0.275134
53,0.312049
54,0.460342
55,-0.020642
56,0.424545
57,0.271654
58,0.0774862
59,0.139257
60,-0.00432548
61,0.22997
62,0.502241
63,0.252291
64,0.293138
65,0.575158
66,0.534544
67,0.393199
68,0.419448
69,0.278607
70,0.473077
71,0.384058
72,0.352082
73,0.453883
74,0.123209
75,0.00136138
76,0.187431
77,0.314605
78,0.335506
79,0.856511
80,0.165048
81,0.352342
82,0.316014
83,0.254322
84,0.43617
85,0.0540929
86,0.366076
87,0.693614
88,0.0921131
89,0.379445
90,-4.31207
91,0.305732
92,0.10187
93,0.368459
94,0.316032
95,0.602603
96,0.534279
97,0.543025
98,0.365494
99,0.328381
100,0.557303
101,0.0486341
102,0.0520198
103,0.292076
104,0.503224
105,0.631151
106,0.495737
107,0.437272
108,0.578335
109,0.557128
110,0.210967
111,0.42182
112,0.510179
113,0.445152
114,0.241639
115,0.712103
116,0.332743
117,0.196693
118,0.405757
119,0.542419
120,0.313116
121,0.342231
122,-0.0192706
123,0.634488
124,0.653699
125,0.608992
126,0.373087
127,0.782237
128,0.412665
129,0.824312
130,0.467336
131,7.28163
132,0.786856
133,0.120244
134,0.647073
135,0.461531
136,-0.00598797
137,0.00541906
138,0.461439
139,0.119716
140,-3.70161
141,0.730677
142,0.500653
143,0.100759
144,0.547566
145,0.822915
146,0.341851
147,0.367114
148,0.464442
149,0.582509
150,0.569479
151,0.808174
152,0.292047
153,0.731312
154,0.458277
155,0.358743
156,0.656511
157,0.279541
158,0.469812
159,0.732121
160,0.540163
161,5.50292
162,0.502481
163,0.771436
164,0.841544
165,0.581846
166,0.397284
167,0.550788
168,0.236804
169,0.403223
170,1.07437
171,0.840574
172,0.889538
173,0.384428
174,0.779598
175,0.652602
176,0.641284
177,0.805241
178,1.19647
179,0.321166
180,0.451183
181,0.590668
182,0.893669
183,0.932749
184,0.801586
185,0.378343
186,0.613667
187,0.692806
188,0.954978
189,0.730968
190,0.903853
191,0.672499
192,0.961652
193,0.645068
194,0.526637
195,0.906992
196,0.486267
197,0.410263
198,0.583477
199,0.868932
200,0.730514
201,0.776357
202,0.622274
203,0.735971
204,0.759445
205,1.15191
206,0.932998
207,0.847499
208,0.445674
209,0.789155
210,0.605365
211,0.233801
212,0.885954
213,0.55898
214,0.596788
215,0.954348
216,1.12505
217,0.601377
218,0.706229
219,6.78342
220,0.776162
221,0.979233
222,0.347467
223,0.416708
224,0.981093
225,0.816392
226,1.37717
227,0.549056
228,0.527216
229,0.975485
230,0.733081
231,0.941693
232,1.00719
233,1.0983
234,1.01435
235,0.990799
236,0.837783
237,0.586881
238,0.822585
239,1.04614
240,0.748578
241,1.02494
242,0.837123
243,0.652964
244,1.03551
245,0.541817
246,0.956537
247,1.2378
248,0.987069
249,1.01396
250,0.875092
251,0.889076
252,1.31757
253,0.948906
254,0.894872
255,1.01153
256,0.775782
257,0.994788
258,0.657678
259,1.18372
260,0.980617
261,1.41648
262,1.15701
263,0.967805
264,1.16214
265,1.1167
266,0.93933
267,0.81737
268,1.10893
269,0.800624
270,1.12843
271,0.942697
272,1.12624
273,0.846254
274,1.03154
275,0.797516
276,1.0097
277,1.34029
278,1.12262
279,1.34393
280,1.3586
281,1.09447
282,1.01811
283,1.5158
284,0.982679
285,0.896142
286,0.865647
287,1.34265
288,1.28924
289,0.779686
290,0.787056
291,1.28545
292,1.18542
293,1.05393
294,1.25537
295,0.721715
296,0.858401
297,1.15723
298,1.01929
299,1.21669
300,0.871181
301,0.892971
302,1.0832
303,7.16441
304,1.67776
305,0.815212
306,0.622879
307,0.813044
308,1.09454
309,0.951157
310,-4.8181
311,1.1209
312,0.830182
313,1.10939
314,0.984433
315,0.849672
316,0.74603
317,1.20581
318,0.924159
319,1.1881
320,0.960681
321,1.16039
322,1.05578
323,0.782137
324,0.606956
325,1.15069
326,0.787998
327,1.02453
328,1.11238
329,0.915192
330,0.932489
331,0.969168
332,0.923164
333,0.923347
334,0.602183
335,1.11385
336,0.918036
337,1.28831
338,1.16553
339,1.01247
340,0.795013
341,1.1017
342,1.19667
343,0.891328
344,1.15039
345,1.09865
346,0.742222
347,0.965003
348,1.0188
349,1.05326
350,0.688594
351,0.838063
352,0.786689
353,1.11014
354,0.615725
355,1.2285
356,1.2089
357,0.909663
358,0.932456
359,0.95942
360,0.987648
361,0.922813
362,0.921406
363,1.08761
364,0.719632
