Index,Value
0,-1
1,-0.8
2,-0.6
3,-0.4
4,-0.2
5,0
6,0.2
7,0.4
8,0.6
9,0.8
10,-1
11,-0.8
12,-0.6
13,-0.4
14,-0.2
15,0
16,0.2
17,0.4
18,1.94109
19,0.8
20,-1
21,-0.8
22,-0.6
23,-0.4
24,-0.2
25,0
26,0.2
27,0.4
28,0.6
29,0.8
30,-1
31,-0.8
32,-0.6
33,-0.4
34,-0.2
35,0
36,0.2
37,0.4
38,0.6
39,0.8
40,-1
41,-0.8
42,-0.6
43,-0.4
44,-0.2
45,0
46,0.2
47,0.4
48,0.6
49,0.8
50,-1
51,-0.8
52,-0.6
53,-0.4
54,-0.2
55,-1.11022e-15
56,1.50085
57,0.4
58,0.6
59,0.8
60,-1
61,-0.8
62,-0.6
63,-0.4
64,-0.2
65,1.11022e-15
66,0.2
67,0.4
68,0.6
69,0.8
70,-1
71,-0.8
72,-0.6
73,-0.4
74,-0.2
75,-1.11022e-15
76,0.2
77,0.4
78,0.6
79,0.8
80,-1
81,-0.8
82,-0.6
83,-0.4
84,-0.2
85,1.11022e-15
86,0.2
87,0.4
88,0.6
89,0.8
90,-1
91,-0.8
92,-0.6
93,-0.4
94,-0.2
95,-1.11022e-15
96,0.2
97,0.4
98,0.6
99,0.8
100,-1
101,-0.8
102,-0.6
103,-0.4
104,-0.2
105,1.11022e-15
106,0.2
107,0.4
108,0.6
109,0.8
110,1
111,-0.8
112,-0.6
113,-0.4
114,-0.2
115,-1.11022e-15
116,0.2
117,0.4
118,0.6
119,0.8
120,-1
121,-0.8
122,-0.6
123,-0.4
124,-0.2
125,1.11022e-15
126,0.2
127,0.4
128,0.6
129,0.8
130,0.0176878
131,-0.8
132,-0.6
133,-0.4
134,-0.2
135,-1.11022e-15
136,0.2
137,0.4
138,0.6
139,0.8
140,-1
141,-0.8
142,-0.6
143,-0.4
144,-0.2
145,1.11022e-15
146,0.2
147,0.4
148,0.6
149,0.8
150,1
151,-0.8
152,-0.6
153,-0.4
154,-0.2
155,-1.11022e-15
156,0.2
157,0.4
158,0.6
159,0.8
160,-1
161,-0.8
162,-0.6
163,-0.4
164,-0.2
165,1.11022e-15
166,0.2
167,0.4
168,0.6
169,0.8
170,-1
171,-0.8
172,-0.6
173,-0.4
174,-0.2
175,-1.11022e-15
176,0.2
177,0.4
178,0.6
179,0.8
180,-1
181,-0.8
182,-0.6
183,-0.4
184,-0.2
185,1.11022e-15
186,0.2
187,0.4
188,0.6
189,0.8
190,1
191,-0.8
192,-0.6
193,-0.4
194,-0.2
195,-1.11022e-15
196,0.2
197,0.4
198,0.6
199,0.8
200,-1
201,-0.8
202,-0.6
203,-0.4
204,-0.2
205,-3.44169e-15
206,0.2
207,0.4
208,0.6
209,0.8
210,-1
211,-0.8
212,-0.6
213,-0.4
214,-0.2
215,-1.11022e-15
216,0.2
217,0.4
218,0.6
219,0.8
220,1
221,-0.8
222,-0.6
223,-0.4
224,-0.2
225,1.11022e-15
226,0.2
227,0.4
228,0.6
229,0.8
230,1
231,-0.8
232,-0.6
233,-0.4
234,-0.2
235,3.33067e-15
236,0.2
237,0.4
238,0.6
239,0.8
240,-1
241,-0.8
242,-1.85541
243,-0.4
244,-0.2
245,-3.44169e-15
246,0.2
247,0.4
248,0.6
249,0.8
250,-1
251,-0.8
252,-0.6
253,-0.4
254,-0.2
255,-1.11022e-15
256,0.2
257,0.4
258,0.6
259,0.8
260,-1
261,-0.8
262,-0.6
263,-0.4
264,-0.2
265,1.11022e-15
266,0.2
267,0.4
268,2.59242
269,0.8
270,1
271,-0.8
272,-0.6
273,-0.4
274,-0.2
275,3.33067e-15
276,0.2
277,0.4
278,0.6
279,0.8
280,-1
281,-0.8
282,-0.6
283,-0.4
284,-0.2
285,-3.44169e-15
286,0.2
287,0.4
288,0.6
289,0.8
290,-1
291,-0.8
292,-0.6
293,-0.4
294,-0.2
295,-1.11022e-15
296,0.2
297,0.4
298,0.6
299,0.8
300,1
301,-0.8
302,-0.6
303,-0.4
304,-0.2
305,1.11022e-15
306,0.2
307,0.4
308,0.6
309,0.8
310,1
311,-0.8
312,-0.6
313,-0.4
314,-0.2
315,3.33067e-15
316,0.2
317,0.4
318,0.6
319,0.8
320,-1
321,-0.8
322,1.14955
323,-0.4
324,-0.2
325,-3.44169e-15
326,0.2
327,0.4
328,0.6
329,0.8
330,-1
331,-0.8
332,-0.6
333,-0.4
334,-0.2
335,-1.17837
336,0.2
337,0.4
338,0.6
339,0.8
340,-1
341,-0.8
342,-0.6
343,-0.4
344,-0.2
345,1.11022e-15
346,0.2
347,0.4
348,0.6
349,0.8
350,1
351,-0.8
352,-0.6
353,-0.4
354,-0.2
355,3.33067e-15
356,0.2
357,0.4
358,0.6
359,0.8
360,-1
361,-0.8
362,-0.6
363,-0.4
364,-0.2
365,-3.44169e-15
366,0.2
367,0.4
368,0.6
369,0.8
370,-1
371,-0.8
372,-0.6
373,-0.4
374,-0.2
375,-1.11022e-15
376,0.2
377,0.4
378,0.6
379,0.8
380,1
381,-0.8
382,-0.6
383,-0.4
384,-0.2
385,1.11022e-15
386,0.2
387,0.4
388,0.6
389,0.8
390,1
391,-0.8
392,-0.6
393,-0.4
394,-0.2
395,3.33067e-15
396,0.2
397,0.4
398,0.6
399,0.8
400,-1
401,-0.8
402,-0.6
403,-1.45728
404,-0.2
405,-3.44169e-15
406,0.2
407,0.4
408,-0.682746
409,0.8
410,1
411,-0.8
412,-0.6
413,-0.4
414,-0.2
415,7.99361e-15
416,0.2
417,0.4
418,0.6
419,0.8
420,-1
421,-0.8
422,-0.6
423,-0.4
424,-0.2
425,1.11022e-15
426,0.2
427,0.4
428,0.6
429,0.8
430,1
431,-0.8
432,-0.6
433,-0.4
434,-0.2
435,-5.66214e-15
436,0.2
437,0.4
438,0.6
439,0.8
440,1
441,-0.8
442,-0.6
443,-0.4
444,-0.2
445,5.55112e-15
446,0.2
447,0.4
448,0.6
449,0.8
450,-1
451,-0.8
452,-0.6
453,-0.4
454,-0.2
455,-1.11022e-15
456,0.2
457,0.4
458,0.6
459,0.8
460,1
461,-0.8
462,-0.6
463,-0.4
464,-0.2
465,-7.88258e-15
466,0.2
467,0.4
468,0.6
469,0.8
470,-1
471,-0.8
472,-0.6
473,-0.4
474,-0.2
475,3.33067e-15
476,0.2
477,0.4
478,0.6
479,0.8
480,-1
481,0.326254
482,-0.6
483,-0.4
484,-0.2
485,-3.44169e-15
486,0.2
487,0.4
488,0.6
489,0.8
490,1
491,-0.8
492,-0.6
493,-0.4
494,-0.2
495,7.99361e-15
496,0.2
497,0.4
498,0.6
499,0.8
