Index,Value
0,-1.02403
1,-0.00432569
2,0.00451619
3,0.00459029
4,0.00967551
5,-0.00728452
6,0.0130285
7,0.00166115
8,-0.0152543
9,0.0151501
10,0.00860184
11,-0.0090827
12,0.0150159
13,-0.0176033
14,0.00607996
15,-0.00363595
16,-0.0147221
17,-0.00123063
18,0.029084
19,0.0111605
20,-0.00340837
21,-0.0054453
22,0.0142898
23,-0.0280096
24,-0.0183275
25,0.00964031
26,-0.0206097
27,-0.0218325
28,0.00787697
29,0.00682153
30,0.00527879
31,-0.00976263
32,-0.00388323
33,0.00167985
34,-0.0127401
35,0.0102581
36,-0.00770283
37,0.0121332
38,-0.0106293
39,0.0188366
40,0.000619456
41,-0.00371725
42,0.00518965
43,0.000553176
44,-0.000394513
45,-0.0135938
46,-0.0055799
47,0.0014605
48,-0.0142355
49,0.00427221
50,0.925183
51,0.902116
52,0.894104
53,0.849412
54,0.841059
55,0.818672
56,0.789026
57,0.751506
58,0.734521
59,0.713533
60,0.709884
61,0.670043
62,0.65891
63,0.646234
64,0.613539
65,0.5932
66,0.5719
67,0.56596
68,0.534049
69,0.537639
70,0.487912
71,0.501129
72,0.504266
73,0.462222
74,0.470446
75,0.451743
76,0.428857
77,0.408062
78,0.409543
79,0.404498
80,0.396629
81,0.373553
82,0.355347
83,0.335734
84,0.324909
85,0.307997
86,0.307193
87,0.318884
88,0.315973
89,0.297395
90,0.286555
91,0.27087
92,0.251776
93,0.264727
94,0.238664
95,0.235391
96,0.242331
97,0.222146
98,0.220717
99,0.208261
100,0.22118
101,0.191037
102,0.212191
103,0.184529
104,0.169792
105,0.179855
106,0.162677
107,0.166966
108,0.161023
109,0.165177
110,0.150343
111,0.151415
112,0.134971
113,0.1351
114,0.134975
115,0.141604
116,0.561636
117,0.543743
118,0.52761
119,0.508034
120,0.489051
121,0.487382
122,0.485441
123,0.447549
124,0.437615
125,0.426506
126,0.426617
127,0.391071
128,0.39314
129,0.370514
130,0.379049
131,0.34139
132,0.353951
133,0.350961
134,0.337382
135,0.30258
136,0.297001
137,0.291491
138,0.287101
139,0.2787
140,0.287864
141,1.28478
142,0.243942
143,0.272052
144,0.244878
145,0.228893
146,0.233419
147,0.218312
148,0.223772
149,0.219154
150,0.174362
151,0.158632
152,0.163337
153,0.126522
154,0.147388
155,0.13061
156,0.121381
157,0.116229
158,0.102966
159,0.126714
160,0.129497
161,0.123203
162,0.110909
163,0.108056
164,0.110169
165,0.0911787
166,0.0872944
167,0.0978457
168,0.089702
169,0.0845466
170,0.0716543
171,0.0793679
172,0.078478
173,0.0860481
174,0.0702184
175,0.074239
176,0.0739882
177,0.0747879
178,0.0727824
179,0.0785231
180,0.0559371
181,0.0597309
182,0.0570576
183,0.0674266
184,0.0547303
185,0.0530617
186,0.0516214
187,0.0474352
188,0.0390752
189,0.069038
190,0.0618701
191,0.0372254
192,0.0397181
193,0.0392051
194,0.0268761
195,0.051596
196,0.0399349
197,0.046972
198,0.041871
199,0.0409714
200,0.0461057
201,0.0273173
202,0.0372764
203,0.0261629
204,0.045614
205,0.043204
206,0.034124
207,0.025539
208,0.0539984
209,0.0229107
210,0.026811
211,0.0334045
212,0.028717
213,0.0269959
214,0.0204534
215,0.0269292
216,-0.00160558
217,-0.00416932
218,0.00759448
219,-0.0120502
220,-0.0112071
221,-0.00847662
222,-0.00137582
223,-0.000151773
224,-0.00600777
225,0.00263944
226,0.00731794
227,-0.00415045
228,0.00623319
229,0.00667401
230,0.00178606
231,0.000359148
232,-0.00693648
233,0.00243648
234,0.0140792
235,0.0155854
236,-0.00450274
237,0.00839775
238,0.0103445
239,0.0057005
240,0.0179165
241,-0.0129331
242,0.00744996
243,-0.018391
244,-0.00119545
245,0.0153659
246,0.00705933
247,-0.0015909
248,-0.00297179
249,0.0195804
250,-0.00448068
251,-0.00825722
252,0.00949221
253,-0.0164151
254,-0.00220282
255,-0.00543552
256,-0.00398516
257,0.00961764
258,-0.010976
259,0.00802604
260,0.00361504
261,0.0101368
262,0.00138397
263,-0.000936567
264,0.00114192
265,-0.0136052
266,-0.0133163
267,-0.00149791
268,-0.00136654
269,-0.00709544
270,-0.0255039
271,-0.00642104
272,-0.00150235
273,0.0113809
274,0.0225735
275,-0.024043
276,-0.00368987
277,0.0131255
278,0.00426304
279,-0.00890792
280,0.00573165
281,0.00213925
282,1.03544
283,-0.0088775
284,0.0071979
285,-0.00500603
286,0.0279995
287,-0.00842623
288,0.0304957
289,0.00735393
290,-0.0059365
291,0.00875043
292,0.00952202
293,0.00876924
294,0.00666529
295,0.00394724
296,-0.0105064
297,0.00805392
298,-0.00839744
299,-0.011259
300,-0.00235964
301,0.00134854
302,0.00819758
303,-0.0103149
304,0.00178613
305,0.0029927
306,-0.0039991
307,-0.00272778
308,0.00987266
309,-0.00889559
310,0.00221393
311,-0.0074382
312,-0.00351304
313,0.0175728
314,0.00601309
315,0.0101577
316,0.00455018
