Index,Value
0,0
1,0.0816219
2,0.162887
3,0.243441
4,0.322934
5,0.401026
6,0.477383
7,0.551687
8,0.623632
9,0.692929
10,0.759308
11,0.82252
12,0.882335
13,0.938551
14,0.990986
15,1.03949
16,1.08393
17,1.1242
18,1.16025
19,1.19201
20,1.21948
21,1.24267
22,1.26162
23,1.27638
24,1.28706
25,1.29376
26,1.29663
27,1.29583
28,1.29154
29,1.28396
30,1.27331
31,1.25982
32,1.24372
33,1.22529
34,1.20478
35,1.18246
36,1.1586
37,1.13348
38,1.10737
39,1.08054
40,1.05325
41,1.02576
42,0.99832
43,0.971162
44,0.944508
45,0.918567
46,0.893528
47,0.869565
48,0.846831
49,0.82546
50,0.805565
51,0.787239
52,0.77055
53,0.755549
54,0.742261
55,0.730691
56,0.720823
57,0.71262
58,0.706026
59,0.700965
60,0.697346
61,0.695059
62,0.693981
63,0.693975
64,0.694893
65,0.696576
66,0.698859
67,0.70157
68,0.704533
69,0.707572
70,0.710508
71,0.713166
72,0.715374
73,0.716967
74,0.717787
75,0.717685
76,0.716524
77,0.714178
78,0.710537
79,0.705504
80,0.699
81,0.690963
82,0.681346
83,0.670125
84,0.65729
85,0.642853
86,0.626845
87,0.609313
88,0.590324
89,0.569963
90,0.54833
91,0.525542
92,0.501732
93,0.477042
94,0.451632
95,0.425667
96,0.399324
97,0.372785
98,0.346239
99,0.319878
100,0.293893
101,0.268476
102,0.243816
103,0.220098
104,0.197499
105,0.176188
106,0.156322
107,0.138049
108,0.1215
109,0.106792
110,0.0940242
111,0.0832787
112,0.0746177
113,0.0680829
114,0.0636956
115,0.061455
116,0.0613387
117,0.063302
118,0.0672782
119,0.0731786
120,0.0808931
121,0.0902909
122,0.101221
123,0.113514
124,0.126982
125,0.141421
126,0.156613
127,0.172326
128,0.188317
129,0.204333
130,0.220115
131,0.235398
132,0.249916
133,0.263398
134,0.27558
135,0.286199
136,0.294998
137,0.30173
138,0.306159
139,0.30806
140,0.307224
141,0.303461
142,0.296597
143,0.28648
144,0.272979
145,0.255989
146,0.235426
147,0.211234
148,0.183384
149,0.151872
150,0.116723
151,0.0779898
152,0.0357514
153,-0.00988515
154,-0.058786
155,-0.110792
156,-0.165717
157,-0.223354
158,-0.283471
159,-0.345815
160,-0.410115
161,-0.476083
162,-0.543412
163,-0.611787
164,-0.680876
165,-0.750343
166,-0.819844
167,-0.889031
168,-0.957555
169,-1.02507
170,-1.09122
171,-1.15569
172,-1.21812
173,-1.27822
174,-1.33567
175,-1.39018
176,-1.44149
177,-1.48933
178,-1.53348
179,-1.57372
180,-1.60988
181,-1.64179
182,-1.66932
183,-1.69236
184,-1.71084
185,-1.7247
186,-1.73393
187,-1.73853
188,-1.73853
189,-1.734
190,-1.72502
191,-1.71171
192,-1.69421
193,-1.67267
194,-1.64728
195,-1.61824
196,-1.58577
197,-1.55012
198,-1.51152
199,-1.47026
200,-1.42658
201,-1.38079
202,-1.33317
203,-1.284
204,-1.23357
205,-1.18217
206,-1.13009
207,-1.0776
208,-1.02497
209,-0.97247
210,-0.920335
211,-0.868802
212,-0.818088
213,-0.768395
214,-0.719905
215,-0.672781
216,-0.627165
217,-0.583179
218,-0.540924
219,-0.500478
220,-0.461897
221,-0.425215
222,-0.390447
223,-0.357583
224,-0.326595
225,-0.297436
226,-0.270038
227,-0.244318
228,-0.220177
229,-0.197499
230,-0.176159
231,-0.156018
232,-0.136928
233,-0.118736
234,-0.101281
235,-0.084399
236,-0.0679249
237,-0.0516941
238,-0.0355442
239,-0.0193173
240,-0.0028615
241,0.0139669
242,0.0313021
243,0.0492668
244,0.0679713
245,0.0875117
246,0.107969
247,0.129407
248,0.151875
249,0.175402
250,0.2
251,0.225662
252,0.252364
253,0.280061
254,0.308692
255,0.338178
256,0.368422
257,0.399313
258,0.430722
259,0.462508
260,0.494518
261,0.526587
262,0.558539
263,0.590193
264,0.621361
265,0.65185
266,0.681466
267,0.710015
268,0.737303
269,0.763142
270,0.787348
271,0.809747
272,0.830173
273,0.84847
274,0.8645
275,0.878135
276,0.889265
277,0.8978
278,0.903665
279,0.906808
280,0.907197
281,0.904822
282,0.899694
283,0.891847
284,0.881338
285,0.868246
286,0.852672
287,0.834739
288,0.81459
289,0.79239
290,0.768321
291,0.742583
292,0.715393
293,0.686982
294,0.657594
295,0.627484
296,0.596915
297,0.566159
298,0.53549
299,0.505187
300,0.475528
301,0.446789
302,0.41924
303,0.393146
304,0.368764
305,0.346337
306,0.326096
307,0.308256
308,0.293016
309,0.280555
310,0.27103
311,0.264577
312,0.261308
313,0.261311
314,0.264646
315,0.271349
316,0.281428
317,0.294862
318,0.311606
319,0.331584
320,0.354697
321,0.380815
322,0.409787
323,0.441435
324,0.475556
325,0.511929
326,0.55031
327,0.590437
328,0.63203
329,0.674797
330,0.718431
331,0.762616
332,0.807028
333,0.851336
334,0.895209
335,0.938312
336,0.980316
337,1.02089
338,1.05972
339,1.09649
340,1.13091
341,1.16269
342,1.19156
343,1.21726
344,1.23958
345,1.2583
346,1.27324
347,1.28423
348,1.29113
349,1.29385
350,1.29229
351,1.28641
352,1.27617
353,1.26158
354,1.24267
355,1.2195
356,1.19214
357,1.16071
358,1.12535
359,1.08621
360,1.04347
361,0.997345
362,0.948046
363,0.895813
364,0.840902
365,0.783579
366,0.724122
367,0.662818
368,0.599962
369,0.53585
370,0.470781
371,0.405056
372,0.33897
373,0.272815
374,0.206873
375,0.141421
376,0.0767219
377,0.0130254
378,-0.0494325
379,-0.110433
380,-0.169773
381,-0.227273
382,-0.282768
383,-0.336118
384,-0.387203
385,-0.435925
386,-0.482208
387,-0.526
388,-0.56727
389,-0.606007
390,-0.642225
391,-0.675956
392,-0.707251
393,-0.736183
394,-0.762838
395,-0.78732
396,-0.809747
397,-0.830251
398,-0.848972
399,-0.866062
400,-0.881678
401,-0.895983
402,-0.909143
403,-0.921327
404,-0.9327
405,-0.943427
406,-0.953668
407,-0.963576
408,-0.973295
409,-0.98296
410,-0.992696
411,-1.00261
412,-1.01281
413,-1.02337
414,-1.03435
415,-1.0458
416,-1.05776
417,-1.07024
418,-1.08324
419,-1.09672
420,-1.11065
421,-1.12498
422,-1.13962
423,-1.15448
424,-1.16946
425,-1.18443
426,-1.19926
427,-1.2138
428,-1.22789
429,-1.24137
430,-1.25407
431,-1.2658
432,-1.27639
433,-1.28565
434,-1.29341
435,-1.29948
436,-1.30369
437,-1.30587
438,-1.30586
439,-1.30352
440,-1.29871
441,-1.2913
442,-1.2812
443,-1.2683
444,-1.25255
445,-1.23388
446,-1.21228
447,-1.18771
448,-1.16021
449,-1.12981
450,-1.09655
451,-1.06052
452,-1.02183
453,-0.98059
454,-0.936954
455,-0.891087
456,-0.843175
457,-0.793421
458,-0.742048
459,-0.689293
460,-0.635407
461,-0.580654
462,-0.525309
463,-0.469653
464,-0.413975
465,-0.358566
466,-0.303722
467,-0.249734
468,-0.196893
469,-0.145484
470,-0.0957847
471,-0.0480612
472,-0.00256934
473,0.0404501
474,0.0807724
475,0.118191
476,0.152519
477,0.183592
478,0.211267
479,0.235426
480,0.255977
481,0.272853
482,0.286016
483,0.295452
484,0.301179
485,0.303237
486,0.3017
487,0.296663
488,0.288252
489,0.276616
490,0.261929
491,0.244388
492,0.224212
493,0.201641
494,0.176932
495,0.150359
496,0.122211
497,0.0927872
498,0.0623983
499,0.0313617
500,3.45449e-15
501,-0.0313617
502,-0.0623983
503,-0.0927872
504,-0.122211
505,-0.150359
506,-0.176932
507,-0.201641
508,-0.224212
509,-0.244388
510,-0.261929
511,-0.276616
512,-0.288252
513,-0.296663
514,-0.3017
515,-0.303237
516,-0.301179
517,-0.295452
518,-0.286016
519,-0.272853
520,-0.255977
521,-0.235426
522,-0.211267
523,-0.183592
524,-0.152519
525,-0.118191
526,-0.0807724
527,-0.0404501
528,0.00256934
529,0.0480612
530,0.0957847
531,0.145484
532,0.196893
533,0.249734
534,0.303722
535,0.358566
536,0.413975
537,0.469653
538,0.525309
539,0.580654
540,0.635407
541,0.689293
542,0.742048
543,0.793421
544,0.843175
545,0.891087
546,0.936954
547,0.98059
548,1.02183
549,1.06052
550,1.09655
551,1.12981
552,1.16021
553,1.18771
554,1.21228
555,1.23388
556,1.25255
557,1.2683
558,1.2812
559,1.2913
560,1.29871
561,1.30352
562,1.30586
563,1.30587
564,1.30369
565,1.29948
566,1.29341
567,1.28565
568,1.27639
569,1.2658
570,1.25407
571,1.24137
572,1.22789
573,1.2138
574,1.19926
575,1.18443
576,1.16946
577,1.15448
578,1.13962
579,1.12498
580,1.11065
581,1.09672
582,1.08324
583,1.07024
584,1.05776
585,1.0458
586,1.03435
587,1.02337
588,1.01281
589,1.00261
590,0.992696
591,0.98296
592,0.973295
593,0.963576
594,0.953668
595,0.943427
596,0.9327
597,0.921327
598,0.909143
599,0.895983
600,0.881678
601,0.866062
602,0.848972
603,0.830251
604,0.809747
605,0.78732
606,0.762838
607,0.736183
608,0.707251
609,0.675956
610,0.642225
611,0.606007
612,0.56727
613,0.526
614,0.482208
615,0.435925
616,0.387203
617,0.336118
618,0.282768
619,0.227273
620,0.169773
621,0.110433
622,0.0494325
623,-0.0130254
624,-0.0767219
625,-0.141421
626,-0.206873
627,-0.272815
628,-0.33897
629,-0.405056
630,-0.470781
631,-0.53585
632,-0.599962
633,-0.662818
634,-0.724122
635,-0.783579
636,-0.840902
637,-0.895813
638,-0.948046
639,-0.997345
640,-1.04347
641,-1.08621
642,-1.12535
643,-1.16071
644,-1.19214
645,-1.2195
646,-1.24267
647,-1.26158
648,-1.27617
649,-1.28641
650,-1.29229
651,-1.29385
652,-1.29113
653,-1.28423
654,-1.27324
655,-1.2583
656,-1.23958
657,-1.21726
658,-1.19156
659,-1.16269
660,-1.13091
661,-1.09649
662,-1.05972
663,-1.02089
664,-0.980316
665,-0.938312
666,-0.895209
667,-0.851336
668,-0.807028
669,-0.762616
670,-0.718431
671,-0.674797
672,-0.63203
673,-0.590437
674,-0.55031
675,-0.511929
676,-0.475556
677,-0.441435
678,-0.409787
679,-0.380815
680,-0.354697
681,-0.331584
682,-0.311606
683,-0.294862
684,-0.281428
685,-0.271349
686,-0.264646
687,-0.261311
688,-0.261308
689,-0.264577
690,-0.27103
691,-0.280555
692,-0.293016
693,-0.308256
694,-0.326096
695,-0.346337
696,-0.368764
697,-0.393146
698,-0.41924
699,-0.446789
700,-0.475528
701,-0.505187
702,-0.53549
703,-0.566159
704,-0.596915
705,-0.627484
706,-0.657594
707,-0.686982
708,-0.715393
709,-0.742583
710,-0.768321
711,-0.79239
712,-0.81459
713,-0.834739
714,-0.852672
715,-0.868246
716,-0.881338
717,-0.891847
718,-0.899694
719,-0.904822
720,-0.907197
721,-0.906808
722,-0.903665
723,-0.8978
724,-0.889265
725,-0.878135
726,-0.8645
727,-0.84847
728,-0.830173
729,-0.809747
730,-0.787348
731,-0.763142
732,-0.737303
733,-0.710015
734,-0.681466
735,-0.65185
736,-0.621361
737,-0.590193
738,-0.558539
739,-0.526587
740,-0.494518
741,-0.462508
742,-0.430722
743,-0.399313
744,-0.368422
745,-0.338178
746,-0.308692
747,-0.280061
748,-0.252364
749,-0.225662
750,-0.2
751,-0.175402
752,-0.151875
753,-0.129407
754,-0.107969
755,-0.0875117
756,-0.0679713
757,-0.0492668
758,-0.0313021
759,-0.0139669
760,0.0028615
761,0.0193173
762,0.0355442
763,0.0516941
764,0.0679249
765,0.084399
766,0.101281
767,0.118736
768,0.136928
769,0.156018
770,0.176159
771,0.197499
772,0.220177
773,0.244318
774,0.270038
775,0.297436
776,0.326595
777,0.357583
778,0.390447
779,0.425215
780,0.461897
781,0.500478
782,0.540924
783,0.583179
784,0.627165
785,0.672781
786,0.719905
787,0.768395
788,0.818088
789,0.868802
790,0.920335
791,0.97247
792,1.02497
793,1.0776
794,1.13009
795,1.18217
796,1.23357
797,1.284
798,1.33317
799,1.38079
800,1.42658
801,1.47026
802,1.51152
803,1.55012
804,1.58577
805,1.61824
806,1.64728
807,1.67267
808,1.69421
809,1.71171
810,1.72502
811,1.734
812,1.73853
813,1.73853
814,1.73393
815,1.7247
816,1.71084
817,1.69236
818,1.66932
819,1.64179
820,1.60988
821,1.57372
822,1.53348
823,1.48933
824,1.44149
825,1.39018
826,1.33567
827,1.27822
828,1.21812
829,1.15569
830,1.09122
831,1.02507
832,0.957555
833,0.889031
834,0.819844
835,0.750343
836,0.680876
837,0.611787
838,0.543412
839,0.476083
840,0.410115
841,0.345815
842,0.283471
843,0.223354
844,0.165717
845,0.110792
846,0.058786
847,0.00988515
848,-0.0357514
849,-0.0779898
850,-0.116723
851,-0.151872
852,-0.183384
853,-0.211234
854,-0.235426
855,-0.255989
856,-0.272979
857,-0.28648
858,-0.296597
859,-0.303461
860,-0.307224
861,-0.30806
862,-0.306159
863,-0.30173
864,-0.294998
865,-0.286199
866,-0.27558
867,-0.263398
868,-0.249916
869,-0.235398
870,-0.220115
871,-0.204333
872,-0.188317
873,-0.172326
874,-0.156613
875,-0.141421
876,-0.126982
877,-0.113514
878,-0.101221
879,-0.0902909
880,-0.0808931
881,-0.0731786
882,-0.0672782
883,-0.063302
884,-0.0613387
885,-0.061455
886,-0.0636956
887,-0.0680829
888,-0.0746177
889,-0.0832787
890,-0.0940242
891,-0.106792
892,-0.1215
893,-0.138049
894,-0.156322
895,-0.176188
896,-0.197499
897,-0.220098
898,-0.243816
899,-0.268476
900,-0.293893
901,-0.319878
902,-0.346239
903,-0.372785
904,-0.399324
905,-0.425667
906,-0.451632
907,-0.477042
908,-0.501732
909,-0.525542
910,-0.54833
911,-0.569963
912,-0.590324
913,-0.609313
914,-0.626845
915,-0.642853
916,-0.65729
917,-0.670125
918,-0.681346
919,-0.690963
920,-0.699
921,-0.705504
922,-0.710537
923,-0.714178
924,-0.716524
925,-0.717685
926,-0.717787
927,-0.716967
928,-0.715374
929,-0.713166
930,-0.710508
931,-0.707572
932,-0.704533
933,-0.70157
934,-0.698859
935,-0.696576
936,-0.694893
937,-0.693975
938,-0.693981
