Index,Value
0,0
1,0.0502198
2,0.100264
3,0.150006
4,0.19932
5,0.248083
6,0.296173
7,0.343467
8,0.389848
9,0.435199
10,0.479407
11,0.522361
12,0.563955
13,0.604084
14,0.642648
15,0.679552
16,0.714704
17,0.748016
18,0.779408
19,-0.580429
20,0.836123
21,0.861307
22,0.884291
23,0.90502
24,0.923444
25,0.939518
26,0.953203
27,0.964469
28,0.973288
29,0.979641
30,0.983514
31,0.984899
32,0.983797
33,0.980211
34,0.974154
35,0.965643
36,0.954702
37,0.94136
38,0.925655
39,0.907628
40,0.887326
41,0.864804
42,0.84012
43,0.813338
44,0.784529
45,0.753768
46,0.721133
47,0.686708
48,0.650584
49,0.612852
50,0.573609
51,0.532956
52,0.490997
53,0.447839
54,0.403592
55,0.35837
56,0.312287
57,0.26546
58,0.218008
59,0.170053
60,0.121715
61,0.0731163
62,0.0243807
63,-0.0243688
64,-0.0730092
65,-0.121418
66,-0.169473
67,-0.217052
68,-0.264038
69,-0.310311
70,-0.355755
71,-0.400256
72,-0.443703
73,-0.485988
74,-0.527004
75,-0.566649
76,-0.604825
77,-0.641436
78,-0.676392
79,-0.709606
80,-0.740995
81,-0.770483
82,-0.797997
83,-0.823468
84,-0.846836
85,-0.868042
86,-0.887036
87,-0.903771
88,-0.918208
89,-0.930312
90,-0.940055
91,-0.947415
92,-0.952376
93,-0.954926
94,-0.955064
95,-0.952789
96,-0.948111
97,-0.941043
98,-0.931606
99,-0.919825
100,-0.905734
101,-0.889369
102,-0.870774
103,-0.849999
104,-0.827098
105,-0.802131
106,-0.775162
107,-0.746263
108,-0.715507
109,-0.682975
110,-0.648749
111,-0.612919
112,-0.575577
113,-0.536817
114,-0.49674
115,-0.455448
116,-0.413045
117,-0.369642
118,-0.325347
119,-0.280274
120,-0.234537
121,-0.188253
122,-0.141538
123,-0.0945116
124,-0.0472924
125,-2.30427e-16
126,0.0472463
127,0.0943272
128,0.141124
129,0.187519
130,0.233394
131,0.278636
132,0.32313
133,0.366765
134,0.409431
135,0.451021
136,0.491432
137,0.530563
138,0.568316
139,0.604597
140,0.639316
141,-1.33186
142,0.703726
143,0.733259
144,0.760912
145,0.786616
146,0.810309
147,0.831932
148,0.851434
149,0.868767
150,0.883889
151,0.896764
152,0.907363
153,0.91566
154,0.921636
155,0.92528
156,0.926584
157,0.925546
158,0.922173
159,0.916474
160,0.908467
161,0.898174
162,0.885622
163,0.870847
164,0.853887
165,0.834788
166,0.813599
167,0.790376
168,0.765181
169,0.738078
170,0.709137
171,0.678434
172,0.646048
173,2.25057
174,0.576565
175,0.539646
176,0.5014
177,0.461925
178,0.421323
179,0.379696
180,0.337151
181,0.293796
182,0.249742
183,0.2051
184,0.159984
185,0.114508
186,0.0687871
187,0.0229371
188,-0.0229259
189,-0.0686864
190,-0.114229
191,-0.159438
192,-0.204201
193,-0.248404
194,-0.291937
195,-0.334691
196,-0.376557
197,-0.417432
198,-0.457213
199,-0.4958
200,-0.533098
201,-0.569013
202,-0.603457
203,-0.636343
204,-0.66759
205,-0.697121
206,-0.724863
207,-0.750747
208,-0.774711
209,-0.796695
210,-0.816645
211,-0.834514
212,-0.850259
213,-0.863841
214,-0.875228
215,-0.884395
216,-0.891319
217,-0.895986
218,-0.898385
219,0.413074
220,-0.896374
221,-0.891973
222,-0.885324
223,-0.876445
224,-0.865363
225,-0.852105
226,-0.83671
227,-0.819216
228,-0.799671
229,-0.778126
230,-0.754637
231,-0.729265
232,-0.702077
233,-2.79238
234,-0.642536
235,-0.610337
236,-0.576629
237,-0.541497
238,-0.505032
239,-0.467328
240,-0.428481
241,-0.388589
242,-0.347755
243,-0.306083
244,-0.263679
245,-0.22065
246,-0.177106
247,-0.133157
248,-0.0889156
249,-0.0444923
250,-4.33567e-16
251,0.0444488
252,0.0887421
253,0.132768
254,0.176416
255,0.219575
256,0.262138
257,0.303998
258,0.345049
259,0.385189
260,-1.50559
261,0.462335
262,0.499149
263,0.534666
264,0.568799
265,0.601462
266,0.632574
267,0.662059
268,0.689843
269,0.715858
270,0.740041
271,0.76233
272,0.782674
273,0.801021
274,0.817327
275,-1.38781
276,0.843667
277,0.853638
278,0.861444
279,0.867066
280,0.870494
281,0.871721
282,0.870745
283,0.867571
284,0.86221
285,0.854677
286,0.844993
287,0.833185
288,0.819284
289,0.803329
290,0.78536
291,-0.841633
292,0.743578
293,0.719875
294,0.694376
295,0.667149
296,0.638264
297,0.607796
298,0.575823
299,0.542426
300,0.507693
301,0.471712
302,0.434575
303,0.396376
304,0.357214
305,0.317188
306,0.276401
307,0.234955
308,0.192956
309,0.150511
310,0.107728
311,0.0647142
312,0.021579
313,-0.0215685
314,-0.0646195
315,-0.107465
316,-0.149998
317,-0.19211
318,-0.233696
319,-0.274652
320,-0.314874
321,-0.354261
322,-0.392716
323,-0.430141
324,1.8067
325,-0.501533
326,-0.535322
327,-0.567726
328,-0.598665
329,-0.628062
330,-0.655845
331,-0.681944
332,-0.706296
333,-0.72884
334,-0.749522
335,-0.768292
336,-0.785103
337,-0.799915
338,-0.812693
339,-0.823406
340,-0.83203
341,-0.838544
342,-0.842934
343,-0.845192
344,-0.845314
345,-0.8433
346,-0.839159
347,-0.832904
348,-0.824551
349,-0.814125
350,-0.801652
351,-0.787168
352,-0.77071
353,-0.752323
354,-0.732053
355,-0.709955
356,-0.686085
357,-0.660507
358,-0.633285
359,-0.604491
360,-0.574199
361,-0.542487
362,-0.509435
363,-0.47513
364,-0.439658
365,-0.40311
366,-0.365581
367,-0.327165
368,-0.28796
369,-0.248066
370,-0.207585
371,-0.16662
372,-0.125273
373,-0.0836509
374,-0.0418579
375,-6.11844e-16
376,0.041817
377,0.0834877
378,0.124907
379,0.16597
380,0.206574
381,0.246617
382,0.285998
383,0.324619
384,0.362382
385,0.399193
386,0.43496
387,0.469594
388,0.503009
389,0.53512
390,0.565849
391,0.59512
392,0.622859
393,0.648998
394,0.673473
395,0.696223
396,0.717193
397,0.736332
398,0.753592
399,0.768933
400,0.782318
401,0.793714
402,0.803094
403,0.810438
404,0.815728
405,0.818953
406,0.820106
407,0.819188
408,0.816203
409,0.811159
410,0.804072
411,0.794961
412,0.783852
413,0.770775
414,0.755764
415,0.738859
416,-1.36802
417,0.699551
418,0.677251
419,0.653262
420,0.627648
421,0.600473
422,0.571809
423,0.541728
424,0.510309
425,0.477633
426,0.443782
427,0.408843
428,0.372907
429,0.336063
430,0.298408
431,0.260035
432,0.221043
433,0.181531
434,0.1416
435,0.101349
436,0.0608825
437,0.0203013
438,-0.0202914
439,-0.0607934
440,-0.101102
441,-0.141116
442,-0.180735
443,-0.219859
444,-0.25839
445,-0.29623
446,-0.333285
447,-0.369463
448,-0.404673
449,-0.438826
450,-0.471838
451,-0.503626
452,-0.534111
453,-0.563218
454,-0.590875
455,-0.617012
456,-0.641566
457,-0.664476
458,-0.685686
459,-0.705143
460,-0.722801
461,-0.738617
462,-0.752552
463,-0.764573
464,-0.774652
465,-0.782765
466,-0.788894
467,-0.793024
468,-0.795148
469,-0.795263
470,-0.793369
471,-0.789473
472,-0.783588
473,-0.77573
474,-0.76592
475,-0.754187
476,-0.74056
477,-0.725077
478,-0.707778
479,-0.688708
480,-0.667918
481,-0.645462
482,-0.621398
483,-0.595789
484,-0.5687
485,-0.540201
486,-0.510366
487,-0.479272
488,-0.446997
489,-0.413626
490,-0.379242
491,-0.343935
492,-0.307793
493,-0.27091
494,-0.233378
495,-0.195294
496,-0.156754
497,-0.117856
498,-0.0786979
499,-0.0393795
500,-7.67489e-16
501,0.0393411
502,0.0785444
503,0.117511
504,0.156143
505,0.194343
506,0.232015
507,0.269064
508,0.305398
509,0.340925
510,0.375557
511,0.409206
512,0.44179
513,0.473225
514,0.503436
515,0.532345
516,0.559883
517,0.585979
518,0.610571
519,0.633596
520,0.655
521,0.674728
522,0.692734
523,0.708972
524,0.723405
525,0.735997
526,0.746718
527,0.755543
528,0.762452
529,0.767428
530,0.770463
531,0.771548
532,0.770684
533,0.767875
534,0.76313
535,0.756463
536,0.747892
537,0.73744
538,0.725137
539,0.711015
540,0.695111
541,0.677468
542,0.658131
543,0.637151
544,0.614583
545,0.590485
546,0.564919
547,0.537952
548,0.509653
549,0.480094
550,0.449352
551,0.417506
552,0.384636
553,0.350827
554,0.316165
555,0.280739
556,0.244638
557,0.207955
558,0.170783
559,0.133216
560,0.0953485
561,0.0572776
562,0.0190993
563,-0.01909
564,-0.0571938
565,1.56375
566,-0.132761
567,-0.170034
568,-0.206841
569,-0.24309
570,-0.27869
571,-0.313552
572,-0.347587
573,-0.380712
574,-0.412843
575,-0.4439
576,-0.473806
577,-0.502487
578,-0.52987
579,-0.555889
580,-0.580479
581,-0.603579
582,-0.625133
583,-0.645086
584,-0.663392
585,-0.680004
586,-0.694884
587,-0.707994
588,-0.719303
589,-0.728785
590,-0.736418
591,-0.742184
592,-0.74607
593,-0.748068
594,-0.748175
595,-0.746393
596,-0.742728
597,-0.737192
598,-0.729799
599,-0.72057
600,-0.709531
601,-0.696712
602,-0.682145
603,-0.66587
604,-0.64793
605,-0.628371
606,-0.607245
607,-0.584605
608,-0.560512
609,-0.535027
610,-0.508216
611,-0.480147
612,-0.450894
613,-1.78017
614,-0.389135
615,-0.356787
616,-0.32357
617,-0.289569
618,-0.254869
619,-0.21956
620,-0.183731
621,-0.147473
622,-0.110878
623,-0.0740382
624,-0.0370478
625,1.71577e-15
626,0.0370117
627,0.0738938
628,0.110553
629,0.146898
630,0.182836
631,0.218277
632,0.253133
633,0.287315
634,0.320739
635,0.35332
636,0.384977
637,0.415631
638,0.445206
639,0.473627
640,0.500825
641,0.526732
642,0.551283
643,0.574419
644,0.596081
645,0.616217
646,0.634778
647,0.651717
648,0.666994
649,0.680572
650,0.692419
651,0.702505
652,0.710808
653,0.717307
654,0.721989
655,0.724844
656,0.725865
657,0.725052
658,0.72241
659,0.717945
660,0.711673
661,0.703609
662,0.693777
663,0.682202
664,0.668916
665,2.9842
666,0.637355
667,0.619163
668,0.599425
669,0.578193
670,0.555522
671,0.53147
672,0.5061
673,0.479476
674,0.451668
675,0.422746
676,0.392785
677,0.361862
678,0.330055
679,0.297445
680,0.264116
681,0.230153
682,0.195642
683,0.160671
684,0.125328
685,0.0897029
686,0.0538862
687,0.0179684
688,-0.0179597
689,-0.0538074
690,-0.0894842
691,-0.1249
692,-0.159966
693,-0.194594
694,-0.228697
695,-0.262189
696,-0.294986
697,-0.327007
698,-0.35817
699,-0.388399
700,-0.417617
701,-0.445752
702,-0.472735
703,-0.498497
704,-0.522975
705,-0.546109
706,-0.567841
707,-0.588119
708,-0.606891
709,-0.624113
710,-0.639741
711,-0.65374
712,-0.666073
713,-0.676713
714,-0.685634
715,-0.692815
716,-0.698239
717,-0.701895
718,-0.703775
719,-0.703876
720,-0.7022
721,-0.698752
722,-0.693543
723,-0.686588
724,-0.677905
725,-0.66752
726,-0.655459
727,-0.641755
728,-0.626444
729,-0.609566
730,-0.591165
731,-0.57129
732,-0.549991
733,-0.527324
734,-0.503348
735,-0.478124
736,1.16814
737,-0.424197
738,-0.395631
739,-0.366094
740,-0.335662
741,-0.304412
742,-0.272424
743,-0.239779
744,-0.20656
745,-0.172852
746,-0.138741
747,-0.104313
748,-0.0696544
749,-0.0348542
750,-1.01894e-15
751,0.0348202
752,0.0695185
753,0.104007
754,0.1382
755,0.17201
756,0.205353
757,0.238145
758,0.270304
759,0.301748
760,0.3324
761,0.362183
762,0.391022
763,0.418845
764,0.445584
765,0.471172
766,0.495544
767,0.518642
768,0.540408
769,0.560787
770,0.579731
771,0.597193
772,0.613129
773,0.627502
774,0.640276
775,0.651421
776,0.66091
777,0.668721
778,0.674836
779,0.67924
780,2.79607
781,0.682886
782,0.682122
783,0.679636
784,0.675436
785,0.669535
786,0.661949
787,0.652698
788,0.641809
789,0.62931
790,0.615233
791,0.599617
792,0.582503
793,0.563934
794,0.543959
795,0.52263
796,0.500002
797,0.476134
798,0.451086
799,0.424925
800,0.397715
801,0.369528
802,0.340436
803,0.310512
804,0.279833
805,0.248478
806,0.216526
807,0.184058
808,0.151158
809,0.117907
810,0.0843916
811,0.0506956
812,0.0169045
813,-0.0168963
814,-0.0506214
815,-0.0841858
816,-0.117505
817,-0.150495
818,-0.183072
819,-0.215156
820,-0.246665
821,-0.27752
822,-0.307645
823,-0.336963
824,-0.365402
825,-0.39289
826,-0.419359
827,-0.444744
828,-0.468981
829,-0.49201
830,-0.513774
831,-0.53422
832,-0.553296
833,-0.570957
834,-0.587159
835,-0.601862
836,-0.615032
837,-0.626635
838,-0.636645
839,-0.645038
840,-0.651793
841,-0.656896
842,-0.660336
843,-0.662105
844,-0.6622
845,-0.660622
846,-0.657379
847,-0.652478
848,-0.645935
849,-0.637767
850,-0.627996
851,-0.61665
852,-0.603757
853,-0.589352
854,-0.573474
855,-0.556162
856,1.50099
857,-0.517426
858,-0.496101
859,-0.473545
860,-0.449815
861,-0.424972
862,1.36716
863,-0.372206
864,-2.0366
865,-0.315788
866,-0.286388
867,-0.256293
868,-0.225581
869,-0.19433
870,-0.162618
871,-0.130526
872,-0.0981363
873,-0.0655302
874,-0.0327905
875,-1.11838e-15
876,0.0327585
877,0.0654023
878,0.0978492
879,0.130017
880,0.161826
881,0.193194
882,0.224045
883,0.254299
884,0.283882
885,0.312719
886,0.340738
887,0.367869
888,0.394046
889,0.419201
890,0.443274
891,0.466203
892,0.487933
893,0.50841
894,0.527583
895,0.545405
896,-1.33054
897,0.576826
898,0.590347
899,0.602365
900,0.61285
901,0.621777
902,0.629126
903,0.634879
904,0.639023
905,0.641549
906,0.642453
907,0.641734
908,0.639395
909,0.635444
910,0.629892
911,0.622755
912,0.614052
913,0.603808
914,0.592048
915,0.578805
916,0.564114
917,0.548013
918,0.530543
919,0.511751
920,0.491685
921,0.470397
922,0.447942
923,0.424378
924,0.399765
925,0.374167
926,0.347649
927,0.320279
928,0.292127
929,0.263265
930,0.233766
931,0.203706
932,0.17316
933,0.142208
934,0.110926
935,0.0793948
936,0.047694
937,0.0159036
938,-0.0158959
939,-0.0476241
940,-0.0792012
941,-0.110547
942,-0.141584
943,-0.172233
944,-0.202417
945,-0.23206
946,-0.261088
947,-0.289429
948,-0.317011
949,-0.343766
950,-0.369627
951,-0.394529
952,-0.418411
953,-0.441213
954,-0.462878
955,-0.483353
956,-0.502588
957,-0.520536
958,-0.537151
959,-0.552393
960,-0.566226
961,-0.578616
962,-0.589532
963,-0.59895
964,-0.606845
965,-0.613201
966,-0.618002
967,-0.621237
968,-0.622901
969,-0.622991
970,-0.621507
971,-0.618455
972,-0.613845
973,-0.607689
974,-0.600005
975,-0.590813
976,-0.580138
977,-0.568009
978,-0.554457
979,-0.539518
980,-0.523232
981,-0.505641
982,-0.486789
983,-0.466727
984,-0.445506
985,-0.423181
986,-0.399809
987,-0.375451
988,-0.350168
989,-0.324025
990,-2.71973
991,-0.269431
992,-0.241118
993,-0.212225
994,-0.182823
995,-0.152989
996,-0.122798
997,-0.0923256
998,-0.0616502
999,-0.030849
1000,-1.20247e-15
1001,0.0308189
1002,0.0615299
1003,0.0920555
