Index,Value
0,0
1,0.0376902
2,0.0753268
3,0.112856
4,0.150226
5,0.187381
6,0.224271
7,0.260842
8,0.297042
9,0.33282
10,0.368125
11,0.402906
12,0.437116
13,0.470704
14,0.503623
15,0.535827
16,0.567269
17,0.597905
18,0.627691
19,0.656586
20,0.684547
21,0.711536
22,0.737513
23,0.762443
24,0.786288
25,0.809017
26,0.830596
27,0.850994
28,0.870184
29,0.888136
30,0.904827
31,0.920232
32,0.934329
33,0.947098
34,0.958522
35,0.968583
36,0.977268
37,0.984564
38,0.990461
39,0.994951
40,0.998027
41,0.999684
42,0.999921
43,0.998737
44,0.996134
45,0.992115
46,0.986686
47,0.979855
48,0.971632
49,0.962028
50,0.951057
51,0.938734
52,0.925077
53,0.910106
54,0.893841
55,0.876307
56,0.857527
57,0.837528
58,0.816339
59,0.79399
60,0.770513
61,0.745941
62,0.720309
63,0.693653
64,0.666012
65,0.637424
66,0.60793
67,0.577573
68,0.546394
69,0.51444
70,0.481754
71,0.448383
72,0.414376
73,0.379779
74,0.344643
75,0.309017
76,0.272952
77,0.236499
78,0.19971
79,0.162637
80,0.125333
81,0.0878512
82,0.0502443
83,0.012566
84,-0.0251301
85,-0.0627905
86,-0.100362
87,-0.13779
88,-0.175023
89,-0.212007
90,-0.24869
91,-0.285019
92,-0.320944
93,-0.356412
94,-0.391374
95,-0.425779
96,-0.45958
97,-0.492727
98,-0.525175
99,-0.556876
100,-0.587785
101,-0.61786
102,-0.647056
103,-0.675333
104,-0.70265
105,-0.728969
106,-0.754251
107,-0.778462
108,-0.801567
109,-0.823533
110,-0.844328
111,-0.863923
112,-0.882291
113,-0.899405
114,-0.915241
115,-0.929776
116,-0.942991
117,-0.954865
118,-0.965382
119,-0.974527
120,-0.982287
121,-0.988652
122,-0.993611
123,-0.997159
124,-0.999289
125,-1
126,-0.999289
127,-0.997159
128,-0.993611
129,-0.988652
130,-0.982287
131,-0.974527
132,-0.965382
133,-0.954865
134,-0.942991
135,-0.929776
136,-0.915241
137,-0.899405
138,-0.882291
139,-0.863923
140,-0.844328
141,-0.823533
142,-0.801567
143,-0.778462
144,-0.754251
145,-0.728969
146,-0.70265
147,-0.675333
148,-0.647056
149,-0.61786
150,-0.587785
151,-0.556876
152,-0.525175
153,-0.492727
154,-0.45958
155,-0.425779
156,-0.391374
157,-0.356412
158,-0.320944
159,-0.285019
160,-0.24869
161,-0.212007
162,-0.175023
163,-0.13779
164,-0.100362
165,-0.0627905
166,-0.0251301
