Index,Value
0,-0.00712703
1,0.029158
2,-0.0603711
3,0.0692369
4,0.0106011
5,0.128298
6,0.200055
7,0.0131723
8,-0.153324
9,0.215657
10,0.241196
11,0.00114444
12,0.153083
13,-0.195621
14,-0.162335
15,0.165511
16,0.0279122
17,-0.0159162
18,0.131907
19,0.0948204
20,0.0247602
21,0.133596
22,0.0782011
23,-0.134974
24,-0.0107651
25,0.139185
26,0.203194
27,0.136966
28,0.032895
29,0.0180065
30,0.0989564
31,0.0921245
32,-0.0209677
33,0.136985
34,0.0377946
35,0.123146
36,-0.265042
37,0.177447
38,0.388822
39,-0.0564781
40,-0.087909
41,0.214367
42,0.0505458
43,0.0657759
44,-0.108977
45,0.137584
46,-0.106011
47,0.230763
48,0.0965214
49,0.16507
50,-0.0212541
51,0.206613
52,0.0442094
53,-0.191489
54,0.10373
55,0.113369
56,-0.000373027
57,-0.148289
58,-0.0260805
59,0.0206384
60,0.0199706
61,0.334351
62,-0.0143454
63,-0.0617454
64,-0.166622
65,-0.00336114
66,-0.144435
67,0.244711
68,0.0456295
69,0.062753
70,0.268301
71,-0.220649
72,-0.176893
73,0.142831
74,0.0263371
75,-0.0398753
76,0.0671034
77,0.348168
78,-0.0983817
79,-0.0360942
80,0.0965419
81,0.148508
82,0.0289839
83,0.0669041
84,0.134738
85,0.109177
86,-0.0139079
87,0.0644579
88,-0.237575
89,0.0257905
90,-0.0728117
91,-0.0698723
92,0.0170373
93,-0.0988948
94,0.0613258
95,0.274315
96,0.438923
97,0.0770832
98,-0.0337729
99,0.115134
100,-0.029286
101,0.196688
102,0.142672
103,0.240938
104,0.19224
105,-0.175904
106,-0.124188
107,0.144745
108,0.328037
109,0.142286
110,-0.0762447
111,0.0391105
112,0.161888
113,0.0660543
114,0.0973737
115,-0.107278
116,-0.20355
117,0.204515
118,0.0819716
119,-0.142376
120,0.163222
121,0.0722726
122,-0.0556661
123,-0.0756027
124,0.0354613
125,-0.115029
126,-0.128866
127,0.227087
128,0.0796957
129,-0.0739253
130,-0.0188607
131,0.0487154
132,0.0648791
133,0.135433
134,0.061397
135,0.342394
136,0.14443
137,0.0972899
138,0.0620217
139,0.0381307
140,0.149631
141,0.0548707
142,0.136517
143,0.116012
144,0.0922642
145,0.161719
146,-0.167274
147,0.144245
148,0.0996499
149,0.0463212
150,0.0144132
151,0.18924
152,-0.288783
153,0.0186378
154,0.100074
155,0.0385179
156,0.0774439
157,-0.0320133
158,0.08699
159,-0.118085
160,-0.0864571
161,0.0842616
162,0.112904
163,-0.0161091
164,-0.0047781
165,-0.0813943
166,0.116834
167,-0.332015
168,-0.0430039
169,0.0796496
170,0.208434
171,-0.00940496
172,0.134122
173,0.153202
174,-0.184077
175,0.151557
176,-0.141148
177,0.190803
178,0.0289179
179,0.253574
180,0.115659
181,-0.0280015
182,0.157956
183,0.0478442
184,-0.0263046
185,0.164667
186,0.131692
187,0.111862
188,0.165091
189,-0.0880508
190,-0.0348534
191,0.102735
192,0.269139
193,0.218385
194,0.135142
195,0.321717
196,-0.0141536
197,-0.137178
198,0.0105746
199,0.116906
200,0.118894
201,-0.0162358
202,-0.0223467
203,0.0743982
204,0.122187
205,0.171117
206,-0.281749
207,0.154892
208,0.0124066
209,0.140059
210,0.208922
211,0.0797983
212,0.199215
213,0.176485
214,0.129617
215,0.243161
216,0.201041
217,0.328334
218,0.0853758
219,0.0554817
220,0.0559396
221,0.104866
222,0.22762
223,0.2474
224,0.144046
225,0.25032
226,0.13898
227,0.140987
228,0.120781
229,0.338455
230,0.179235
231,0.299426
232,0.16993
233,0.266296
234,-0.0501013
235,-0.0332297
236,0.0923609
237,0.320023
238,0.359745
239,0.108995
240,0.285704
241,0.150526
242,0.0075243
243,0.0453302
244,-0.0475818
245,0.0128106
246,0.164678
247,0.204643
248,0.327971
249,0.122772
250,0.0456303
251,0.0316802
252,0.0606458
253,0.0422618
254,0.0675299
255,-0.0240391
256,0.160629
257,0.0917861
258,0.296675
259,0.0882813
260,0.103679
261,0.0899336
262,0.197977
263,0.162275
264,0.0708956
265,0.0377898
266,-0.143169
267,-0.0986893
268,0.0600688
269,0.00478254
270,-0.14086
271,0.140115
272,0.188494
273,-0.00831147
274,0.296541
275,0.188683
276,0.328858
277,0.0893669
278,0.0856421
279,-0.0610291
280,0.110096
281,0.209305
282,0.445712
283,0.158083
284,0.114378
285,0.377914
286,0.202763
287,0.265319
288,0.0424324
289,0.216296
290,0.0582231
291,0.220885
292,0.252638
293,0.137459
294,0.26627
295,-0.117
296,0.33456
297,0.23874
298,0.345589
299,0.091485
300,-0.0966345
301,0.00152158
302,0.0598419
303,-0.0302427
304,-0.0198349
305,-0.208013
306,0.201392
307,0.233823
308,0.15804
309,0.110966
310,0.225093
311,0.18895
312,0.161657
313,-0.0636662
314,0.234483
315,0.129129
316,0.262167
317,0.142552
318,0.215397
319,0.323356
320,0.0524621
321,0.0923147
322,0.158735
323,0.192679
324,0.263471
325,0.283286
326,0.0468486
327,0.314616
328,0.0171532
329,0.226049
330,0.39337
331,0.0363781
332,0.313916
333,-0.00379742
334,0.0441655
335,0.13078
336,0.283999
337,0.244516
338,0.179124
339,0.14431
340,0.0195359
341,0.0266407
342,0.310517
343,0.221651
344,0.344199
345,0.224663
346,0.179575
347,0.346285
348,0.047605
349,0.192679
350,0.0861772
351,0.154045
352,0.129348
353,0.190329
354,0.121766
355,0.320297
356,0.166976
357,0.247428
358,0.141311
359,0.334138
360,0.467992
361,0.0260885
362,0.107959
363,0.122785
364,0.0775676
365,0.316016
366,0.265819
367,0.151581
368,0.25029
369,0.116412
370,0.0781619
371,0.0790065
372,0.261861
373,0.327444
374,0.153119
375,0.176966
376,0.149048
377,0.201921
378,0.0885579
379,0.420358
380,0.210783
381,0.309875
382,0.134747
383,0.104306
384,0.224283
385,0.108383
386,-0.0225298
387,0.332072
388,0.0231929
389,0.31853
390,-0.00479804
391,0.0898574
392,0.437284
393,0.440184
394,0.202934
395,0.251049
396,0.211086
397,-0.00833284
398,0.0529462
399,0.20298
400,0.253395
401,0.248774
402,0.1094
403,0.0496633
404,0.448055
405,0.00268306
406,0.119202
407,0.405991
408,0.18731
409,0.440114
410,0.119097
411,0.19058
412,0.229022
413,0.332822
414,0.446254
415,0.0234121
416,0.295769
417,0.288434
418,0.2907
419,0.119067
420,0.075433
421,-0.0260996
422,0.201449
423,0.117801
424,0.149838
425,0.16141
426,0.261409
427,0.349929
428,-0.00741186
429,0.243732
430,0.0162959
431,-0.110574
432,0.20482
433,0.320016
434,0.109379
435,0.235
436,0.144359
437,0.126349
438,0.159376
439,0.253765
440,0.339014
441,0.375089
442,0.276938
443,0.277081
444,0.149662
445,0.0778799
446,0.12051
447,0.183725
448,0.0577962
449,0.296363
450,0.133418
451,0.196415
452,0.414318
453,0.0931554
454,0.22778
455,0.123204
456,0.303969
457,0.238821
458,0.283143
459,0.224937
460,0.283217
461,0.182085
462,0.366809
463,0.225351
464,0.271531
465,0.32058
466,0.490374
467,0.231082
468,0.254735
469,-0.0419916
470,0.3513
471,0.169888
472,0.302627
473,0.174874
474,-0.205304
475,0.365853
476,0.0228867
477,0.327707
478,0.23755
479,0.215895
480,0.544583
481,-0.070992
482,0.134218
483,0.216659
484,0.261648
485,0.382125
486,-0.0460321
487,0.273409
488,0.260615
489,0.125303
490,0.457827
491,0.157473
492,0.157186
493,0.183068
494,0.13792
495,0.218466
496,0.115146
497,0.310202
498,0.366809
499,0.379877
500,0.0762769
501,0.263672
502,0.0657477
503,0.229179
504,0.243224
505,0.215173
506,-0.0524298
507,0.071961
508,0.200715
509,0.450922
510,0.219223
511,0.185366
512,0.291865
513,0.0852088
514,0.201027
515,0.174149
516,0.158597
517,0.130077
518,0.110701
519,0.281251
520,0.216839
521,0.0970335
522,0.289879
523,0.451465
524,0.162532
525,0.190814
526,0.334403
527,0.367716
528,0.261844
529,0.326542
530,0.184968
531,0.357449
532,0.296494
533,0.332106
534,-0.0123187
535,0.171735
536,0.196249
537,0.20885
538,0.462677
539,0.277887
540,0.365685
541,0.116843
542,0.292918
543,0.30879
544,0.391602
545,0.305509
546,0.107012
547,0.188885
548,-0.0568067
549,0.232236
550,0.191069
551,0.325793
552,0.486915
553,0.151343
554,0.326297
555,0.203595
556,0.0610034
557,0.0362708
558,0.282097
559,0.228562
560,0.373105
561,0.168484
562,0.25734
563,0.277743
564,0.0105681
565,0.0988396
566,0.0782645
567,0.238674
568,0.170598
569,-0.036924
570,0.213489
571,0.377724
572,0.352686
573,0.120557
574,-0.020835
575,0.266795
576,0.237133
577,0.169616
578,0.203628
579,0.226358
580,0.17064
581,0.642148
582,0.405881
583,0.302446
584,0.259467
585,0.184293
586,0.302018
587,0.429933
588,0.374456
589,0.433325
590,0.390632
591,0.00655343
592,0.313311
593,0.296833
594,0.217071
595,0.255912
596,0.320345
597,-0.124009
598,0.278502
599,0.20585
600,0.149428
601,0.208884
602,0.346618
603,0.252203
604,0.0932764
605,0.177973
606,-0.037304
607,0.324585
608,0.140663
609,0.389013
610,0.222675
611,0.380318
612,0.388488
613,0.400135
614,0.175737
615,0.472264
616,0.253734
617,0.36899
618,0.101322
619,0.197019
620,0.386926
621,0.295372
622,0.0803958
623,0.479933
624,0.37157
625,0.160033
626,0.34117
627,0.171826
628,0.336976
629,0.381498
630,0.293598
631,0.278001
632,0.276185
633,0.329488
634,0.0844129
635,0.30339
636,0.153411
637,0.373418
638,0.251291
639,0.193964
640,0.231951
641,0.228942
642,0.382818
643,0.246133
644,0.372263
645,0.184045
646,0.188027
647,0.383708
648,0.405663
649,0.212518
650,0.433016
651,0.484917
652,0.269909
653,0.158764
654,0.261221
655,0.240587
656,0.409952
657,0.154882
658,0.385481
659,0.22227
660,0.0782676
661,0.289037
662,0.184547
663,0.280876
664,0.500913
665,0.227659
666,0.138112
667,0.21943
668,0.153438
669,0.30193
670,0.308371
671,0.599347
672,0.565052
673,0.263299
674,0.321204
675,0.41708
676,0.251711
677,0.593092
678,0.133118
679,0.159598
680,0.417
681,0.411082
682,0.530134
683,0.414359
684,0.106257
685,0.227287
686,0.285048
687,0.198948
688,0.332205
689,0.437379
690,0.360951
691,0.397655
692,0.168865
693,0.366108
694,0.339916
695,0.368182
696,0.227905
697,0.00669632
698,0.270873
699,0.369267
700,0.403301
701,0.409173
702,0.555028
703,0.289906
704,0.34457
705,0.350428
706,0.436101
707,0.401843
708,0.194952
709,0.329312
710,0.399572
711,0.253979
712,0.210812
713,0.50897
714,0.291978
715,0.35418
716,0.274745
717,0.326209
718,0.61083
719,-0.00258667
720,0.281683
721,0.264452
722,0.205495
723,0.249
724,0.427881
725,0.460836
726,0.319312
727,0.26825
728,0.21498
729,0.360425
730,0.35948
731,0.447942
732,0.468366
733,0.371628
734,0.487779
735,0.422536
736,0.148183
737,0.528092
738,0.50819
739,0.474618
740,0.484904
741,0.107906
742,0.328217
743,0.362692
744,0.333361
745,0.359114
746,0.519306
747,0.288546
748,0.517807
749,0.208379
750,0.487343
751,0.153503
752,0.240824
753,0.298334
754,0.279592
755,0.178064
756,0.330871
757,0.3299
758,0.443217
759,0.385928
760,0.32188
761,0.53583
762,0.297931
763,0.48918
764,0.278227
765,0.328359
766,0.475029
767,0.551215
768,0.361982
769,0.0733285
770,0.317694
771,0.429819
772,0.377629
773,0.22855
774,0.257814
775,0.178592
776,0.363143
777,0.401105
778,0.359918
779,0.412673
780,0.346856
781,0.264203
782,0.409265
783,0.418767
784,0.181996
785,0.355739
786,0.259282
787,0.503464
788,0.639154
789,0.376661
790,0.295935
791,0.324735
792,0.357177
793,0.317457
794,0.29858
795,0.450901
796,0.558376
797,0.333069
798,0.325381
799,0.255305
800,0.434393
801,0.506206
802,0.680282
803,0.212422
804,0.475793
805,0.272867
806,0.507186
807,0.321936
808,0.370948
809,0.414499
810,0.465593
811,0.380406
812,0.441778
813,0.25204
814,0.106822
815,0.214739
816,0.556612
817,0.281702
818,0.346982
819,0.233042
820,0.438172
821,0.431825
822,0.3283
823,0.00393758
824,0.311326
825,0.422905
826,0.272687
827,0.540358
828,0.31402
829,0.459313
830,0.454462
831,0.456685
832,0.550288
833,0.33485
834,0.273092
835,0.446077
836,0.424852
837,0.219119
838,0.416178
839,0.232972
840,0.449889
841,0.31308
842,0.352748
843,0.207667
844,0.283547
845,0.212976
846,0.176836
847,0.519673
848,0.237021
849,0.272752
850,0.499782
851,0.312594
852,0.478835
853,0.47097
854,0.325494
855,0.505244
856,0.287971
857,0.359
858,0.318061
859,0.36007
860,0.586422
861,0.356345
862,0.237708
863,0.451345
864,0.611332
865,0.486573
866,0.447657
867,0.164095
868,0.475868
869,0.238039
870,0.573115
871,0.373586
872,0.284712
873,0.113604
874,0.360161
875,0.280289
876,0.246392
877,0.547536
878,0.319078
879,0.333059
880,0.393012
881,0.479696
882,0.347168
883,0.295658
884,0.321034
885,0.271049
886,0.239058
887,0.431701
888,0.536252
889,0.405206
890,0.226582
891,0.345631
892,0.313094
893,0.339572
894,0.297017
895,0.354022
896,0.424313
897,0.354998
898,0.323962
899,0.456089
900,0.582695
901,0.0665994
902,0.286308
903,0.45361
904,0.600191
905,0.459192
906,0.703654
907,0.204639
908,0.357224
909,0.417186
910,0.414709
911,0.164676
912,0.577482
913,0.45181
914,0.364901
915,0.211769
916,0.490832
917,0.453572
918,0.490334
919,0.495376
920,0.414514
921,0.453483
922,0.554619
923,0.309292
924,0.323587
925,0.515662
926,0.541839
927,0.52709
928,0.475761
929,0.513616
930,0.372088
931,0.471466
932,0.349405
933,0.365719
934,0.0890625
935,0.324566
936,0.445704
937,0.358163
938,0.338834
939,0.273387
940,0.436876
941,0.278841
942,0.329581
943,0.421884
944,0.487135
945,0.436685
946,0.446289
947,0.608936
948,0.217308
949,0.448369
950,0.554153
951,0.458196
952,0.692364
953,0.453186
954,0.479782
955,0.364699
956,0.315299
957,0.402023
958,0.4235
959,0.576651
960,0.506897
961,0.464707
962,0.313501
963,0.505838
964,0.500103
965,0.484316
966,0.580642
967,0.385437
968,0.632983
969,0.524156
970,0.402622
971,0.328002
972,0.515465
973,0.376531
974,0.551891
975,0.423122
976,0.319236
977,0.344505
978,0.352998
979,0.517453
980,0.270291
981,0.506378
982,0.256018
983,0.584493
984,0.359918
985,0.416916
986,0.468589
987,0.626251
988,0.319504
989,0.637995
990,0.365464
991,0.329714
992,0.286774
993,0.505494
994,0.494092
995,0.746815
996,0.521977
997,0.295906
998,0.39078
999,0.299248
1000,0.540209
1001,0.443497
1002,0.543222
1003,0.361113
1004,0.351025
1005,0.450166
1006,0.240684
1007,0.545493
1008,0.386412
1009,0.470383
1010,0.393925
1011,0.490878
1012,0.48863
1013,0.621637
1014,0.30634
1015,0.520481
1016,0.355607
1017,0.332419
1018,0.793159
1019,0.418782
1020,0.809123
1021,0.230793
1022,0.296327
1023,0.529903
1024,0.264551
1025,0.516034
1026,0.36947
1027,0.189762
1028,0.322433
1029,0.774129
1030,0.482933
1031,0.446584
1032,0.589643
1033,0.727175
1034,0.444551
1035,0.449923
1036,0.325915
1037,0.407699
1038,0.391801
1039,0.406755
1040,0.595194
1041,0.542829
1042,0.100549
1043,0.429002
1044,0.348381
1045,0.0326328
1046,0.490413
1047,0.661963
1048,0.473037
1049,0.184104
1050,0.692712
1051,0.358857
1052,0.794504
1053,0.406474
1054,0.545698
1055,0.596324
1056,0.386647
1057,0.450913
1058,0.37841
1059,0.40023
1060,0.519887
1061,0.469059
1062,0.450242
1063,0.449792
1064,0.399305
1065,0.466048
1066,0.489541
1067,0.796149
1068,0.540897
1069,0.347391
1070,0.589914
1071,0.396719
1072,0.574008
1073,0.546857
1074,0.520295
1075,0.588703
1076,0.408916
1077,0.445887
1078,0.387097
1079,0.429795
1080,0.464934
1081,0.44371
1082,0.439327
1083,0.445087
1084,0.584862
1085,0.449073
1086,0.446144
1087,0.117443
1088,0.39652
1089,0.234288
1090,0.413326
1091,0.514841
1092,0.147323
1093,0.289467
1094,0.57004
1095,0.309134
1096,0.534364
1097,0.605423
1098,0.474507
1099,0.467715
1100,0.434965
1101,0.389495
1102,0.728357
1103,0.720898
1104,0.359118
1105,0.658328
1106,0.464985
1107,0.586911
1108,0.352815
1109,0.382044
1110,0.451051
1111,0.706114
1112,0.476812
1113,0.402818
1114,0.383333
1115,0.486386
1116,0.313417
1117,0.537668
1118,0.336281
1119,0.477978
1120,0.544416
1121,0.528168
1122,0.520939
1123,0.348535
1124,0.423679
1125,0.372124
1126,0.385473
1127,0.619415
1128,0.543132
1129,0.484436
1130,0.319295
1131,0.604715
1132,0.356659
1133,0.489284
1134,0.602247
1135,0.548626
1136,0.689325
1137,0.443695
1138,0.260523
1139,0.427923
1140,0.699392
1141,0.591647
1142,0.523373
1143,0.549452
1144,0.365737
1145,0.506026
1146,0.244893
1147,0.329249
1148,0.559966
1149,0.234092
1150,0.376452
1151,0.362507
1152,0.704557
1153,0.407943
1154,0.633019
1155,0.42466
1156,0.534576
1157,0.567581
1158,0.627061
1159,0.220747
1160,0.449432
1161,0.395103
1162,0.50165
1163,0.499722
1164,0.611435
1165,0.772082
1166,0.39718
1167,0.445042
1168,0.266887
1169,0.551475
1170,0.697488
1171,0.541012
1172,0.417913
1173,0.533384
1174,0.61236
1175,0.26945
1176,0.462044
1177,0.425448
1178,0.770485
1179,0.535057
1180,0.499953
1181,0.323565
1182,0.508579
1183,0.342442
1184,0.782918
1185,0.577987
1186,0.461318
1187,0.5027
1188,0.629065
1189,0.487675
1190,0.471005
1191,0.625416
1192,0.393013
1193,0.558281
1194,0.320784
1195,0.640129
1196,0.350097
1197,0.7043
1198,0.166098
1199,0.549226
1200,0.399063
1201,0.703735
1202,0.44467
1203,0.491611
1204,0.637305
1205,0.428642
1206,0.58939
1207,0.525561
1208,0.598215
1209,0.573279
1210,0.375871
1211,0.28174
1212,0.584546
1213,0.331139
1214,0.652749
1215,0.464875
1216,0.381459
1217,0.604929
1218,0.516144
1219,0.579351
1220,0.439274
1221,0.565581
1222,0.483344
1223,0.796567
1224,0.351359
1225,0.415132
1226,0.816831
1227,0.588958
1228,0.572285
1229,0.531257
1230,0.692415
1231,0.513035
1232,0.621414
1233,0.564308
1234,0.482381
1235,0.384506
1236,0.458072
1237,0.47938
1238,0.642629
1239,0.675445
1240,0.346334
1241,0.702468
1242,0.576847
1243,0.518371
1244,0.540244
1245,0.397784
1246,0.571054
1247,0.487141
1248,0.796815
1249,0.54557
1250,0.37945
1251,0.536958
1252,0.399105
1253,0.656326
1254,0.602547
1255,0.466003
1256,0.609413
1257,0.581208
1258,0.711153
1259,0.600103
1260,0.491487
1261,0.609203
1262,0.577091
1263,0.606726
1264,0.403173
1265,0.313335
1266,0.672473
1267,0.64924
1268,0.482076
1269,0.515226
1270,0.607498
1271,0.461093
1272,0.469708
1273,0.503943
1274,0.428073
1275,0.537288
1276,0.479936
1277,0.574163
1278,0.353221
1279,0.655086
1280,0.71086
1281,0.437066
1282,0.588369
1283,0.405778
1284,0.534625
1285,0.382368
1286,0.586244
1287,0.641272
1288,0.403975
1289,0.618232
1290,0.663385
1291,0.756212
1292,0.51358
1293,0.504968
1294,0.594153
1295,0.671739
1296,0.434542
1297,0.39871
1298,0.488229
1299,0.653278
1300,0.912283
1301,0.589806
1302,0.540128
1303,0.584155
1304,0.46065
1305,0.666864
1306,0.605259
1307,0.337018
1308,0.4291
1309,0.688553
1310,0.426823
1311,0.402409
1312,0.770016
1313,0.477645
1314,0.608308
1315,0.682152
1316,0.387202
1317,0.765808
1318,0.559952
1319,0.534277
1320,0.579169
1321,0.800787
1322,0.463584
1323,0.568742
1324,0.515021
1325,0.507176
1326,0.363876
1327,0.515133
1328,0.502482
1329,0.540463
1330,0.605117
1331,0.768093
1332,0.83124
1333,0.477037
1334,0.431501
1335,0.645788
1336,0.585013
1337,0.859231
1338,0.664689
1339,0.601377
1340,0.523738
1341,0.892882
1342,0.572192
1343,0.62494
1344,0.469619
1345,0.510509
1346,0.472038
1347,0.845299
1348,0.491071
1349,0.371839
1350,0.636446
1351,0.738202
1352,0.543585
1353,0.755406
1354,0.609407
1355,0.483019
1356,0.455785
1357,0.495638
1358,0.59296
1359,0.504561
1360,0.745994
1361,0.516742
1362,0.741815
1363,0.501647
1364,0.426503
1365,0.639308
1366,0.719833
1367,0.417987
1368,0.754441
1369,0.465082
1370,0.450253
1371,0.437637
1372,0.589926
1373,0.518282
1374,0.579015
1375,0.45944
1376,0.400064
1377,0.438176
1378,0.573848
1379,0.724012
1380,0.507932
1381,0.466793
1382,0.579392
1383,0.591705
1384,0.637617
1385,0.634484
1386,0.338393
1387,0.584814
1388,0.594962
1389,0.53985
1390,0.536979
1391,0.674334
1392,0.856971
1393,0.337551
1394,0.611134
1395,0.643084
1396,0.686275
1397,0.557255
1398,0.53985
1399,0.694778
1400,0.675135
1401,0.63143
1402,0.63836
1403,0.42598
1404,0.417708
1405,0.572421
1406,0.568912
1407,0.657344
1408,0.552688
1409,0.276279
1410,0.705405
1411,0.410086
1412,0.602928
1413,0.477753
1414,0.276182
1415,0.629377
1416,0.610515
1417,0.814535
1418,0.581259
1419,0.482809
1420,0.632351
1421,0.721261
1422,0.474947
1423,0.605415
1424,0.569005
1425,0.760725
1426,0.622407
1427,0.527872
1428,0.30226
1429,0.736688
1430,0.540003
1431,0.576565
1432,0.549684
1433,0.451315
1434,0.779296
1435,0.58305
1436,0.229548
1437,0.519475
1438,0.672778
1439,0.790042
1440,0.468514
1441,0.800787
1442,0.546168
1443,0.653142
1444,0.586335
1445,0.505938
1446,0.547287
1447,0.512957
1448,0.651486
1449,0.503922
1450,0.507521
1451,0.632691
1452,0.658854
1453,0.445521
1454,0.331904
1455,0.803103
1456,0.50936
1457,0.657146
1458,0.659211
1459,0.552779
1460,0.698483
1461,0.665534
1462,0.54602
1463,0.529706
1464,0.53509
1465,0.779868
1466,0.555776
1467,0.73477
1468,0.61196
1469,0.771082
1470,0.910861
1471,0.526775
1472,0.856981
1473,0.654644
1474,0.699742
1475,0.72041
1476,0.565735
1477,0.639671
1478,0.665006
1479,0.562664
1480,0.640367
1481,0.537403
1482,0.800544
1483,0.418103
1484,0.698663
1485,0.521676
1486,0.473992
1487,0.540602
1488,0.575045
1489,0.711409
1490,0.739277
1491,0.619094
1492,0.836362
1493,0.667816
1494,0.559347
1495,0.642717
1496,0.440035
1497,0.626793
1498,0.486382
1499,0.309831
1500,0.512416
1501,0.685128
1502,0.596654
1503,0.478508
1504,0.323003
1505,0.523281
1506,0.713762
1507,0.801633
1508,0.500955
1509,0.77604
1510,0.690876
1511,0.517401
1512,0.684489
1513,0.651178
1514,0.768429
1515,0.761342
1516,0.601652
1517,0.786583
1518,0.510831
1519,0.625569
1520,0.48369
1521,0.29566
1522,0.710328
1523,0.660464
1524,0.679151
1525,0.611615
1526,0.715599
1527,0.778774
1528,0.644576
1529,0.372829
1530,0.757782
1531,0.529903
1532,0.481653
1533,0.643878
1534,0.555067
1535,0.512352
1536,0.568446
1537,0.647029
1538,0.458579
1539,0.638699
1540,0.744689
1541,0.55403
1542,0.704018
1543,0.704254
1544,0.781904
1545,0.790967
1546,0.403623
1547,0.650463
1548,0.696266
1549,0.535
1550,0.566205
1551,0.721783
1552,0.533032
1553,0.590077
1554,0.694414
1555,0.53168
1556,0.937963
1557,0.587056
1558,0.495032
1559,0.622031
1560,0.545884
1561,0.603189
1562,0.625122
1563,0.601734
1564,0.652723
1565,0.345904
1566,0.642844
1567,0.591363
1568,0.803767
1569,0.708888
1570,0.729631
1571,0.665198
1572,0.491137
1573,0.663088
1574,0.577611
1575,0.428336
1576,0.653036
1577,0.850659
1578,0.540214
1579,0.574645
1580,0.548719
1581,0.923393
1582,0.505006
1583,0.469565
1584,0.473658
1585,0.537386
1586,0.598956
1587,0.600292
1588,0.28604
1589,0.615739
1590,0.452718
1591,0.503604
1592,0.661181
1593,0.538255
1594,0.548637
1595,0.439384
1596,0.588426
1597,0.756962
1598,0.809605
1599,0.552784
1600,0.35434
1601,0.359738
1602,0.530549
1603,0.808844
1604,0.465859
1605,0.62075
1606,0.803631
1607,0.531717
1608,0.652414
1609,0.62842
1610,0.656103
1611,0.482506
1612,0.574062
1613,0.595077
1614,0.67218
1615,0.408129
1616,0.638504
1617,0.457871
1618,0.720685
1619,0.811437
1620,0.593482
1621,0.672461
1622,0.562683
1623,0.541399
1624,0.610335
